target,person,occurrence,audio,subid,trial,leftpic,rightpic,correct,subject
A1,child,1,65_08.mp3,65,8,I1,A1,Y,1
B1,parent,2,36_32.mp3,36,32,B1,C1,Y,1
C1,child,1,45_02.mp3,45,2,C1,A1,Y,1
C1,child,2,44_31.mp3,44,31,C1,E1,Y,1
D1,parent,1,47_05.mp3,47,5,H1,D1,Y,1
E1,parent,1,60_05.mp3,60,5,E1,A1,Y,1
E1,parent,2,75_40.mp3,75,40,H1,E1,Y,1
F1,parent,1,07_09.mp3,7,9,G1,F1,Y,1
H1,child,2,40_37.mp3,40,37,H1,E1,Y,1
K1,parent,2,68_34.mp3,68,34,B1,K1,Y,1
A1,child,2,70_33.mp3,70,33,D1,A1,Y,2
D1,child,2,44_35.mp3,44,35,D1,H1,Y,2
D1,parent,1,45_03.mp3,45,3,D1,F1,Y,2
E1,child,1,59_02.mp3,59,2,A1,E1,N,2
E1,parent,1,35_07.mp3,35,7,B1,E1,Y,2
F1,child,1,35_10.mp3,35,10,F1,K1,Y,2
G1,parent,2,61_32.mp3,61,32,G1,C1,Y,2
I1,child,1,39_08.mp3,39,8,B1,I1,Y,2
I1,child,2,65_31.mp3,65,31,C1,I1,Y,2
K1,child,2,69_37.mp3,69,37,K1,D1,Y,2
A1,child,1,61_04.mp3,61,4,H1,A1,Y,3
B1,child,2,26_37.mp3,26,37,I1,B1,Y,3
C1,parent,2,18_32.mp3,18,32,C1,I1,Y,3
D1,child,1,05_10.mp3,5,10,D1,E1,Y,3
D1,child,2,46_31.mp3,46,31,D1,E1,Y,3
E1,parent,2,65_38.mp3,65,38,B1,E1,Y,3
F1,child,2,28_35.mp3,28,35,F1,B1,Y,3
F1,parent,1,64_01.mp3,64,1,K1,F1,Y,3
H1,parent,1,74_01.mp3,74,1,H1,A1,Y,3
I1,child,1,73_08.mp3,73,8,I1,B1,Y,3
A1,parent,1,60_07.mp3,60,7,K1,A1,Y,4
A1,parent,2,13_32.mp3,13,32,I1,A1,Y,4
C1,child,1,30_08.mp3,30,8,E1,C1,Y,4
C1,parent,1,67_01.mp3,67,1,I1,C1,Y,4
E1,child,2,28_39.mp3,28,39,E1,A1,N,4
F1,child,1,61_06.mp3,61,6,C1,F1,Y,4
F1,child,2,09_31.mp3,9,31,B1,F1,Y,4
F1,parent,1,12_09.mp3,12,9,F1,C1,N,4
H1,child,2,21_31.mp3,21,31,C1,H1,N,4
I1,child,2,60_31.mp3,60,31,I1,B1,Y,4
B1,child,1,05_04.mp3,5,4,I1,B1,Y,5
B1,child,2,51_35.mp3,51,35,I1,B1,Y,5
B1,parent,2,30_38.mp3,30,38,B1,K1,Y,5
C1,parent,1,42_07.mp3,42,7,A1,C1,Y,5
E1,child,2,49_37.mp3,49,37,E1,A1,Y,5
F1,child,1,16_37.mp3,16,37,F1,K1,Y,5
F1,parent,1,71_03.mp3,71,3,F1,K1,Y,5
G1,parent,2,39_34.mp3,39,34,G1,E1,Y,5
K1,child,1,75_04.mp3,75,4,K1,F1,Y,5
K1,parent,2,34_38.mp3,34,38,K1,D1,Y,5
B1,parent,1,45_01.mp3,45,1,C1,B1,Y,6
B1,parent,2,69_36.mp3,69,36,I1,B1,Y,6
D1,child,1,58_10.mp3,58,10,D1,H1,Y,6
D1,parent,2,31_36.mp3,31,36,D1,K1,Y,6
E1,child,1,70_10.mp3,70,10,E1,H1,Y,6
F1,parent,1,72_03.mp3,72,3,C1,F1,Y,6
H1,child,2,36_39.mp3,36,39,C1,H1,Y,6
I1,parent,1,04_03.mp3,4,3,B1,I1,Y,6
K1,child,2,61_39.mp3,61,39,D1,K1,Y,6
K1,parent,2,26_40.mp3,26,40,F1,K1,Y,6
B1,child,1,38_39.mp3,38,39,B1,D1,Y,7
B1,parent,1,72_09.mp3,72,9,B1,K1,Y,7
F1,child,1,47_08.mp3,47,8,G1,F1,Y,7
H1,child,1,39_06.mp3,39,6,H1,E1,Y,7
H1,child,2,32_35.mp3,32,35,E1,H1,Y,7
H1,parent,2,71_40.mp3,71,40,C1,H1,Y,7
I1,child,1,72_06.mp3,72,6,C1,I1,Y,7
I1,parent,2,18_38.mp3,18,38,E1,I1,Y,7
K1,child,2,64_35.mp3,64,35,A1,K1,Y,7
K1,parent,2,31_38.mp3,31,38,D1,K1,Y,7
A1,parent,2,04_34.mp3,4,34,D1,A1,Y,8
B1,parent,2,75_36.mp3,75,36,K1,B1,Y,8
D1,child,2,39_33.mp3,39,33,D1,F1,Y,8
E1,parent,1,17_03.mp3,17,3,E1,I1,N,8
F1,parent,1,11_07.mp3,11,7,F1,G1,Y,8
F1,parent,2,49_38.mp3,49,38,F1,B1,Y,8
G1,child,1,09_02.mp3,9,2,G1,K1,Y,8
G1,parent,2,71_32.mp3,71,32,G1,D1,Y,8
I1,parent,1,59_05.mp3,59,5,A1,I1,Y,8
K1,child,1,68_08.mp3,68,8,K1,A1,Y,8
A1,child,1,40_10.mp3,40,10,A1,H1,Y,9
B1,child,1,11_04.mp3,11,4,B1,C1,Y,9
B1,parent,2,14_40.mp3,14,40,B1,C1,Y,9
C1,child,2,35_35.mp3,35,35,A1,C1,Y,9
D1,child,2,37_37.mp3,37,37,K1,D1,Y,9
D1,parent,1,10_03.mp3,10,3,D1,F1,Y,9
D1,parent,2,18_36.mp3,18,36,D1,E1,Y,9
E1,parent,1,13_09.mp3,13,9,H1,E1,Y,9
F1,parent,1,70_09.mp3,70,9,G1,F1,Y,9
H1,parent,2,09_40.mp3,9,40,D1,H1,Y,9
B1,child,1,55_02.mp3,55,2,B1,K1,Y,10
B1,parent,2,37_36.mp3,37,36,I1,B1,Y,10
D1,child,1,55_08.mp3,55,8,D1,K1,Y,10
D1,parent,1,21_05.mp3,21,5,D1,F1,Y,10
E1,child,1,57_02.mp3,57,2,I1,E1,Y,10
F1,parent,2,37_40.mp3,37,40,F1,B1,Y,10
G1,child,2,36_31.mp3,36,31,G1,D1,Y,10
H1,parent,1,51_07.mp3,51,7,E1,H1,Y,10
I1,child,2,50_35.mp3,50,35,B1,I1,Y,10
K1,parent,2,71_36.mp3,71,36,D1,K1,Y,10
B1,child,2,66_31.mp3,66,31,D1,B1,Y,11
B1,parent,1,13_03.mp3,13,3,B1,I1,Y,11
B1,parent,2,74_36.mp3,74,36,B1,D1,Y,11
C1,parent,2,46_32.mp3,46,32,I1,C1,N,11
D1,child,2,27_39.mp3,27,39,F1,D1,Y,11
D1,parent,1,71_09.mp3,71,9,D1,K1,Y,11
E1,parent,1,54_34.mp3,54,34,E1,H1,Y,11
F1,parent,1,56_05.mp3,56,5,F1,K1,N,11
H1,parent,1,31_05.mp3,31,5,D1,H1,N,11
I1,parent,2,47_40.mp3,47,40,I1,A1,Y,11
B1,child,1,04_06.mp3,4,6,C1,B1,Y,12
B1,child,2,20_37.mp3,20,37,I1,B1,Y,12
C1,child,2,67_39.mp3,67,39,E1,C1,Y,12
C1,parent,1,64_03.mp3,64,3,A1,C1,Y,12
D1,child,2,66_37.mp3,66,37,D1,H1,Y,12
F1,child,1,60_02.mp3,60,2,G1,F1,Y,12
G1,child,1,40_08.mp3,40,8,G1,K1,Y,12
H1,child,2,46_37.mp3,46,37,H1,D1,Y,12
