audio,subid,trial,target,leftpic,rightpic,correct,person
04_01.mp3,4,1,K1,K1,F1,Y,parent
04_02.mp3,4,2,C1,C1,I1,Y,child
04_03.mp3,4,3,I1,B1,I1,Y,parent
04_04.mp3,4,4,E1,E1,B1,Y,child
04_05.mp3,4,5,H1,H1,E1,Y,parent
04_06.mp3,4,6,B1,C1,B1,Y,child
04_07.mp3,4,7,G1,K1,G1,Y,parent
04_08.mp3,4,8,A1,A1,I1,Y,child
04_09.mp3,4,9,D1,D1,E1,Y,parent
04_10.mp3,4,10,F1,F1,K1,Y,child
04_32.mp3,4,32,F1,F1,G1,Y,parent
04_33.mp3,4,33,G1,G1,C1,Y,child
04_34.mp3,4,34,A1,D1,A1,Y,parent
04_35.mp3,4,35,K1,A1,K1,Y,child
04_36.mp3,4,36,C1,C1,E1,Y,parent
04_37.mp3,4,37,D1,D1,K1,Y,child
04_38.mp3,4,38,E1,I1,E1,Y,parent
04_39.mp3,4,39,I1,I1,A1,Y,child
05_02.mp3,5,2,F1,B1,F1,N,child
05_03.mp3,5,3,K1,K1,D1,Y,parent
05_04.mp3,5,4,B1,I1,B1,Y,child
05_05.mp3,5,5,A1,A1,D1,Y,parent
05_06.mp3,5,6,H1,E1,H1,Y,child
05_07.mp3,5,7,I1,I1,E1,Y,parent
05_08.mp3,5,8,G1,G1,C1,N,child
05_09.mp3,5,9,E1,E1,H1,N,parent
05_10.mp3,5,10,D1,D1,E1,Y,child
05_31.mp3,5,31,E1,E1,I1,Y,child
05_33.mp3,5,33,C1,C1,A1,Y,child
05_35.mp3,5,35,K1,K1,A1,Y,child
05_36.mp3,5,36,D1,F1,D1,Y,parent
05_37.mp3,5,37,A1,A1,H1,Y,child
05_38.mp3,5,38,H1,H1,C1,Y,parent
05_39.mp3,5,39,I1,I1,C1,Y,child
07_01.mp3,7,1,I1,C1,I1,Y,parent
07_02.mp3,7,2,C1,C1,E1,Y,child
07_03.mp3,7,3,H1,H1,E1,Y,parent
07_04.mp3,7,4,B1,K1,B1,Y,child
07_05.mp3,7,5,D1,F1,D1,Y,parent
07_06.mp3,7,6,K1,A1,K1,Y,child
07_07.mp3,7,7,G1,C1,G1,Y,parent
07_08.mp3,7,8,A1,A1,H1,Y,child
07_09.mp3,7,9,F1,G1,F1,Y,parent
07_10.mp3,7,10,E1,I1,E1,Y,child
07_31.mp3,7,31,D1,D1,H1,Y,child
07_32.mp3,7,32,C1,C1,I1,Y,parent
07_34.mp3,7,34,K1,K1,F1,Y,parent
07_36.mp3,7,36,E1,H1,E1,Y,parent
07_37.mp3,7,37,G1,G1,E1,Y,child
07_38.mp3,7,38,A1,K1,A1,Y,parent
07_40.mp3,7,40,B1,B1,C1,Y,parent
09_01.mp3,9,1,B1,K1,B1,Y,parent
09_02.mp3,9,2,G1,G1,K1,Y,child
09_03.mp3,9,3,F1,K1,F1,Y,parent
09_04.mp3,9,4,I1,I1,A1,Y,child
09_05.mp3,9,5,D1,F1,D1,Y,parent
09_06.mp3,9,6,H1,C1,H1,Y,child
09_07.mp3,9,7,E1,E1,H1,Y,parent
09_08.mp3,9,8,A1,K1,A1,Y,child
09_09.mp3,9,9,C1,C1,I1,Y,parent
09_10.mp3,9,10,K1,D1,K1,Y,child
09_31.mp3,9,31,F1,B1,F1,Y,child
09_32.mp3,9,32,K1,B1,K1,Y,parent
09_33.mp3,9,33,E1,I1,E1,Y,child
09_34.mp3,9,34,G1,E1,G1,Y,parent
09_35.mp3,9,35,D1,H1,D1,Y,child
09_37.mp3,9,37,C1,A1,C1,Y,child
09_38.mp3,9,38,A1,A1,D1,Y,parent
09_39.mp3,9,39,B1,B1,I1,Y,child
09_40.mp3,9,40,H1,D1,H1,Y,parent
