subid,trial,target,leftpic,rightpic,chosenside,chosenpic,correct,date,time,rt
1,0,apple,banana,apple,L,banana,N,11/2/2018,12:25,19671
1,1,artichoke,onion,artichoke,R,artichoke,Y,11/2/2018,12:25,10176
1,2,onion,onion,artichoke,R,artichoke,N,11/2/2018,12:25,5332
1,3,apple,banana,apple,R,apple,Y,11/2/2018,12:25,53017
1,4,artichoke,artichoke,onion,L,artichoke,Y,11/2/2018,12:25,2010
1,5,onion,artichoke,onion,R,onion,Y,11/2/2018,12:25,11614
1,0,D1,D1,K1,R,K1,N,11/2/2018,12:25,2401
1,1,E1,E1,B1,L,E1,Y,11/2/2018,12:25,11043
1,2,A1,H1,A1,L,H1,N,11/2/2018,12:25,2837
1,3,C1,C1,E1,L,C1,Y,11/2/2018,12:25,26890
1,4,G1,G1,D1,L,G1,Y,11/2/2018,12:25,15295
1,5,B1,B1,C1,R,C1,N,11/2/2018,12:25,17717
1,6,K1,K1,B1,R,B1,N,11/2/2018,12:25,2402
1,7,H1,A1,H1,R,H1,Y,11/2/2018,12:25,37452
1,8,F1,B1,F1,R,F1,Y,11/2/2018,12:25,17559
1,9,I1,E1,I1,R,I1,Y,11/2/2018,12:25,11062
1,10,I1,E1,I1,R,I1,Y,11/2/2018,12:25,16765
1,11,A1,A1,I1,R,I1,N,11/2/2018,12:25,20975
1,12,H1,H1,C1,L,H1,Y,11/2/2018,12:25,30910
1,13,F1,G1,F1,L,G1,N,11/2/2018,12:25,22383
1,14,C1,C1,I1,L,C1,Y,11/2/2018,12:25,32637
1,15,D1,D1,H1,L,D1,Y,11/2/2018,12:25,20370
1,16,I1,C1,I1,L,C1,N,11/2/2018,12:25,16828
1,17,K1,K1,D1,L,K1,Y,11/2/2018,12:25,12105
1,18,B1,B1,K1,R,K1,N,11/2/2018,12:25,14293
1,19,G1,G1,C1,R,C1,N,11/2/2018,12:25,18080
1,20,G1,G1,C1,L,G1,Y,11/2/2018,12:25,5928
1,21,E1,E1,I1,L,E1,Y,11/2/2018,12:25,5248
1,22,F1,F1,C1,R,C1,N,11/2/2018,12:25,5286
1,23,I1,B1,I1,R,I1,Y,11/2/2018,12:25,12265
1,24,K1,K1,A1,L,K1,Y,11/2/2018,12:25,3489
